Speaker Name,Speaker Title,Speaker Company,Company Category,Email Subject,Email Body
Dimitrios Repanas,Corporate Manager (International Team),Zigurat Institute of Technology,Other,Join Us at Booth #42 for a Live Demo,"Hi Dimitrios, 

I hope this message finds you well. I’d like to invite you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s mapping solutions tailored for the construction sector. We also have a small gift for you as a token of appreciation for stopping by. 

Looking forward to seeing you there."
Steven Boyd,Director,Longstone Consulting,Other,Join Us at Booth #42 for a Live Demo,"Hi Steven, 

As the Director at Longstone Consulting, you understand the importance of innovative solutions in construction. We’d love to invite you to visit us at Booth #42 for a live demo of DroneDeploy's capabilities and a small gift. Looking forward to connecting with you there.

Best, 
[Your Name]"
Diego Guevara,Major Programmes Senior Manager,Deloitte MCS,Other,Explore DroneDeploy at Booth #42,"Hi Diego,

I hope this message finds you well. As a Major Programmes Senior Manager at Deloitte MCS, you understand the value of innovative solutions in construction. We would love for you to visit us at Booth #42 for a live demo of DroneDeploy and enjoy a small gift as a token of our appreciation.

Looking forward to seeing you there."
Prof Richard Kingston,Professor of Urban Planning and GISc,University of Manchester,Owner,Explore Innovative Mapping Solutions at Booth #42,"Dear Prof. Kingston,

I hope this message finds you well. We would love to invite you to visit our booth #42 at the upcoming event for a live demo of our drone mapping technology, specifically designed for urban planning and GIS applications. We have a small gift for you as a token of appreciation for your work in the field.

Looking forward to your visit,

Best regards,
[Your Name]  
[Your Position]  
DroneDeploy"
Don Bokor,Digital PMO Lead – Associate Director,Arcadis,Other,Invitation to Experience DroneDeploy at Booth #42,"Hi Don, 

As the Digital PMO Lead at Arcadis, I thought you might find our drone mapping solutions particularly relevant. We’d love to invite you to visit our booth #42 for a live demo and a small gift. It would be great to show you how our technology can enhance your projects. 

Best regards,
[Your Name]
"
Prof Sarah Davidson,"Professor of Information Management, Co-Editor and author of the UK BIM Framework Guidance and project lead",The University of Nottingham,Owner,Join Us at Booth #42 for a Live Demo,"Dear Prof. Davidson, 

As an expert in information management and a contributor to the UK BIM Framework, we believe you would find value in our innovative drone mapping solutions. We invite you to visit our booth #42 for a live demo and to receive a small gift as a token of appreciation for your work in the field. 

Looking forward to seeing you there."
Prakash Senghani,CEO & Founder,Navatech,Other,Join Us at Booth #42 for a Live Demo,"Hi Prakash,

As the CEO of Navatech, your insights into tech innovation are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy's latest capabilities in drone mapping and reality capture. We also have a small gift for you as a token of appreciation.

Looking forward to seeing you there.

Best, 
[Your Name] 
DroneDeploy Team"
Steven Frost,Head of Digital Solutions & Innovation,Milestone Infrastructure,Other,Explore DroneDeploy at Booth #42,"Hi Steven,

As the Head of Digital Solutions & Innovation at Milestone Infrastructure, I believe you'll find our drone mapping and reality capture solutions particularly relevant. We invite you to visit our booth #42 for a live demo and to receive a small gift. 

Looking forward to seeing you there.

Best, 
[Your Name] 
DroneDeploy"
Josh Hanson,Design Lead,Sisk,Other,Join Us for a Live Demo at Booth #42,"Hi Josh,

As the Design Lead at Sisk, you understand the importance of precision in construction. We invite you to visit our booth #42 for a live demo of DroneDeploy's latest mapping solutions tailored for your industry. We’ll also have a small gift for you. Looking forward to seeing you there.

Best,
[Your Name]  
DroneDeploy Team"
Steven E,Director / Tutor / Consultant,GeoEnable / ICE / World Bank,Other,Join Us for a Live Demo at Booth #42,"Hi Steven,

As a Director and Consultant at GeoEnable, we believe you would find our drone mapping solutions invaluable. We’d love for you to visit Booth #42 for a live demo and enjoy a small gift as a token of our appreciation. Looking forward to connecting with you!

Best regards,
[Your Name]
[Your Position]
DroneDeploy"
Prof. Dr Hamal Oussama,Assistant Professor,National School of Architecture,Other,Invitation to Experience DroneDeploy at Booth #42,"Dear Prof. Dr. Oussama,

I hope this message finds you well. We would love for you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s innovative mapping solutions tailored for the architecture field. As a token of appreciation, we’ll have a small gift for you. 

Looking forward to seeing you there."
Dr Andrew Evans,Senior Product Manager,Topcon,Other,Invitation to Visit DroneDeploy at Booth #42,"Hi Dr. Evans, 

As a Senior Product Manager at Topcon, your insights into innovative technology are invaluable. We’d love for you to visit us at booth #42 for a live demo of our latest drone mapping solutions, and we have a small gift waiting for you. Looking forward to connecting!

Best regards,
[Your Name]  
DroneDeploy"
Rachel Heaton,Construction Engagement Manager,GS1 UK,Builder,Join Us at Booth #42 for a Live Demo,"Hi Rachel, 

I hope this message finds you well. As the Construction Engagement Manager at GS1 UK, you understand the impact of technology in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy and enjoy a small gift. 

Looking forward to seeing you there!"
Dr Ash Ahmed,Reader,Leeds Beckett University,Owner,Invitation to Visit DroneDeploy at Booth #42,"Dear Dr. Ahmed,

I hope this message finds you well. We’d like to invite you to visit our booth #42 at the upcoming event for a live demo of our drone mapping and reality capture solutions tailored for construction. We also have a small gift for you as a token of appreciation.

Looking forward to seeing you there.

Best regards,
[Your Name]
DroneDeploy"
Stu Collins,Deloitte,,Other,Explore DroneDeploy at Booth #42,"Hi Stu,  
I hope this message finds you well. As a leader in innovation at Deloitte, I think you’d appreciate our live demo at Booth #42, where we showcase how drone mapping can transform construction projects. We’d love to have you stop by for a demonstration and a small gift.  
Looking forward to seeing you there!"
Josh Mason,AEC Industry Solution Experience Senior Manager,Dassault Systèmes,Builder,Join Us at Booth #42 for a Live Demo,"Hi Josh,

I hope this message finds you well. We would like to invite you to visit our booth #42 for a live demo of DroneDeploy's latest solutions in drone mapping and reality capture tailored for the AEC industry. We also have a small gift for you as a token of our appreciation for your insights.

Looking forward to seeing you there."
Josh Kennedy,Director of Sales,Guardian for Revit,Other,Join Us for a Live Demo at Booth #42,"Hi Josh, 

As the Director of Sales at Guardian for Revit, I believe you'd find our drone mapping solutions quite valuable. We’d love for you to visit us at booth #42 for a live demo and to pick up a small gift. Looking forward to seeing you there.

Best, 
[Your Name] 
DroneDeploy"
Rahul Sehgal,Principal Consultant,Turner and Townsend,Other,Discover DroneDeploy at Booth #42,"Hi Rahul,

As a Principal Consultant at Turner and Townsend, you understand the importance of precision in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We also have a small gift to share with you.

Looking forward to seeing you there."
Joseph Frame,BIM Consultant | Associate,Evolve Consultancy,Other,Join Us at Booth #42 for a Live Demo,"Hi Joseph, 

As a BIM Consultant at Evolve Consultancy, your insights into construction technology are invaluable. We’d love for you to visit our booth #42 for a live demo of our drone mapping solutions. We’ll also have a small gift for you as a token of appreciation. 

Looking forward to seeing you there."
Dr Bhargav Dave,Co-Founder and CEO,VisiLean Oy,Other,Invitation to Experience DroneDeploy at Booth #42,"Hi Dr. Dave,

As the Co-Founder and CEO of VisiLean, your insights into construction innovation are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest features, along with a small gift as a token of our appreciation for your time.

Looking forward to connecting,

[Your Name]  
[Your Position]  
DroneDeploy"
Josh Myers,"Director, Major Accounts",Asite,Other,Join Us for a Live Demo at Booth #42,"Hi Josh, 

I hope this message finds you well. As the Director of Major Accounts at Asite, your insights into the industry are invaluable. We would love for you to visit our booth #42 for a live demo of DroneDeploy’s latest features, along with a small gift as a token of our appreciation.

Looking forward to seeing you there!"
Su Butcher,Director,Just Practising,Other,Join Us for a Live Demo at Booth #42,"Hi Su, 

As the Director at Just Practising, I thought you might be interested in seeing how DroneDeploy can enhance your construction projects. We’d love for you to visit us at booth #42 for a live demo and to pick up a small gift. 

Looking forward to connecting, 
[Your Name] 
[Your Position] 
DroneDeploy"
Adam Ward,CTO,Twinview,Other,Experience DroneDeploy at Booth #42,"Hi Adam, 

As the CTO of Twinview, I thought you might be interested in seeing how DroneDeploy can enhance your projects with our latest drone mapping solutions. We’d love to invite you to Booth #42 for a live demo and a small gift. 

Looking forward to connecting, 

[Your Name]"
Dr Claire Evans,Head of Geography,Bloxham School,Other,Join Us for a Live Demo at Booth #42,"Hi Dr. Evans,

As the Head of Geography at Bloxham School, we believe you'd find our drone mapping solutions particularly relevant. We’d love to invite you to visit Booth #42 for a live demo of our technology and a small gift as a token of appreciation for your time.

Looking forward to seeing you there."
Remi Dornier,"Vice President Industry Architecture, Engineering & Construction",Dassault Systèmes,Builder,Invitation to Visit Us at Booth #42,"Hi Remi,

I hope this message finds you well. As the VP of Industry Architecture, Engineering & Construction at Dassault Systèmes, we believe you would find our live demo at Booth #42 particularly insightful. We’d love to share how DroneDeploy enhances mapping and reality capture in construction, plus we have a small gift for you.

Looking forward to seeing you there."
Joshua Waterman,Managing Director,Building Safety Act Consult,Builder,Join Us for a Live Demo at Booth #42,"Hi Joshua,

As Managing Director at Building Safety Act Consult, your insights into construction safety are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy's latest features, along with a small gift as a token of appreciation. Looking forward to the opportunity to connect.

Best,
[Your Name]"
Susan Brattberg,Founder & Chief Customer Officer,Global eTraining,Other,Join Us at Booth #42 for a Live Demo,"Hi Susan, 

As the Founder & Chief Customer Officer at Global eTraining, you understand the importance of innovative technology in enhancing project efficiency. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s mapping solutions and to pick up a small gift. 

Looking forward to seeing you there."
Dr Dean Douglas,Digital Consultant,Okana,Other,Invitation to Booth #42 for a Live Demo,"Hi Dr. Douglas, 

As a Digital Consultant at Okana, I thought you might be interested in seeing how DroneDeploy enhances construction projects with drone mapping and reality capture. We invite you to visit us at booth #42 for a live demo and a small gift. 

Looking forward to connecting, 

[Your Name]"
Dr Jamie Dupée,CTO,Glider Technology,Other,Let's connect at DCW,"```json
{
  ""subject"": ""Join Us at Booth #42 for a Live Demo"",
  ""body"": ""Hi Dr. Dupée, \n\nWe’d love to invite you to visit our booth #42 for a live demo of our latest drone mapping solutions tailored for construction. As CTO at Glider Technology, your insights would be invaluable, and we have a small gift for you as well. \n\nLooking forward to connecting!"",
}
```"
Justin Kirby,Executive Officer,Digital Buildings Council,Builder,Invitation to Visit Us at Booth #42,"Hi Justin,

As the Executive Officer at Digital Buildings Council, we believe you would appreciate seeing how DroneDeploy enhances construction projects through drone mapping and reality capture. We invite you to booth #42 for a live demo and a small gift. Looking forward to the opportunity to connect.

Best,
[Your Name]"
Taffy Booth,Design Director,Studio Booth,Other,Explore DroneDeploy at Booth #42,"Hi Taffy,

As the Design Director at Studio Booth, we believe you'll appreciate the innovative solutions we offer in drone mapping and reality capture. We invite you to visit our booth #42 for a live demo and a small gift. It would be great to connect and showcase how our technology can support your design projects.

Best,
[Your Name] 
DroneDeploy"
Akhila Murali,Digital Construction Manager,McLaren,Builder,Join Us for a Live Demo at Booth #42,"Hi Akhila, 

As the Digital Construction Manager at McLaren, I thought you might be interested in seeing how DroneDeploy can enhance your projects. We’d love to invite you to visit our booth #42 for a live demo and a small gift. Looking forward to connecting!

Best, 
[Your Name] 
[Your Position] 
DroneDeploy"
Tara Anderson,Vice President of Customer Success,Newforma,Other,Join Us for a Live Demo at Booth #42,"Hi Tara,

I hope this message finds you well. As the VP of Customer Success at Newforma, I thought you might be interested in seeing how DroneDeploy enhances project efficiency through our drone mapping solutions. We’d love for you to visit us at booth #42 for a live demo and a small gift.

Looking forward to connecting!

Best, 
[Your Name] 
[Your Position] 
DroneDeploy"
Justin Stanton,Editor,Digital Construction Plus,Builder,Join Us at Booth #42 for an Exclusive Demo,"Hi Justin,

I hope this message finds you well. As the Editor at Digital Construction Plus, I thought you might be interested in seeing how DroneDeploy enhances construction workflows. We invite you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to connecting,

[Your Name]
[Your Position]
DroneDeploy"
Rene van Zwijndrecht,BIM and Information Management Lead,Radcliffes Digital,Other,Join Us for a Live Demo at Booth #42,"Hi Rene,

As the BIM and Information Management Lead at Radcliffes Digital, we believe you would find our drone mapping solutions particularly relevant. We invite you to visit our booth #42 for a live demo and to pick up a small gift. It would be great to connect and show you how our technology can enhance your projects.

Best regards,
[Your Name]
[Your Position]
DroneDeploy"
Thomas Crossley,Automation & Data Lead,Kier Construction,Builder,Explore DroneDeploy at Booth #42,"Hi Thomas,

As the Automation & Data Lead at Kier Construction, I believe you'll find our live demo at Booth #42 particularly relevant. We'd love to show you how DroneDeploy can enhance your mapping and reality capture processes. Plus, we have a small gift for you.

Looking forward to seeing you there,

[Your Name]  
DroneDeploy Team"
Rhys Lewis,"Director, EMEA",Revizto,Other,Explore DroneDeploy at Booth #42,"Hi Rhys,

As the Director for EMEA at Revizto, your insights into collaborative workflows are invaluable. I’d like to invite you to visit our booth #42 for a live demo of our drone mapping solutions, tailored for the construction industry, along with a small gift. It would be great to connect and share ideas.

Best regards,
[Your Name]  
[Your Position]  
DroneDeploy"
Dr Mahendrini Ariyachandra,Assistant Professor,University College London,Owner,Join Us for a Live Demo at Booth #42,"Hi Dr. Ariyachandra,

I hope this message finds you well. We invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities in drone mapping and reality capture tailored for construction. We’d love to share insights relevant to your work at University College London, and we have a small gift for you as well.

Looking forward to seeing you there!"
Alan Williamson,Senior Services Manager,Multiplex,Other,Join Us at Booth #42 for a Live Demo,"Hi Alan,

I hope this message finds you well. We’d love to invite you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We have a small gift waiting for you as a token of our appreciation for your time. 

Looking forward to seeing you there."
Kamran Ali,Enterprise Key Account Manager,Biosite Systems,Other,Join Us at Booth #42 for a Live Demo,"Hi Kamran,

I hope this message finds you well. As an Enterprise Key Account Manager at Biosite Systems, you understand the value of innovative technology in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy and to pick up a small gift as a token of appreciation.

Looking forward to seeing you there."
Dr Melanie Robinson,Strategy & Intelligence Lead,Okana,Other,Join Us for a Live Demo at Booth #42,"Hi Dr. Robinson, 

As the Strategy & Intelligence Lead at Okana, your insights into innovative solutions in construction are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s capabilities, along with a small gift as a token of our appreciation. 

Looking forward to seeing you there."
Tim Whiteley,Founder,Inevidesk,Other,Join Us at Booth #42 for a Live Demo,"Hi Tim, 

As the founder of Inevidesk, we believe your insights into innovative tech could greatly enhance our conversation. We’d love to invite you to visit us at Booth #42 for a live demo of DroneDeploy's capabilities and to pick up a small gift. 

Looking forward to seeing you there."
Alastair Blenkin,Founder and CEO,Procurepro,Other,Join Us at Booth #42 for a Live Demo,"Hi Alastair, 

As the Founder and CEO of Procurepro, I thought you'd appreciate seeing how DroneDeploy’s mapping and reality capture solutions can enhance project efficiency in construction. I’d love to invite you to visit our booth #42 for a live demo and a small gift. 

Looking forward to the opportunity to connect.

Best, 
[Your Name]"
Kashan Ratyal,Delivery Business Lead,Severn Trent,Other,Join Us for a Live Demo at Booth #42,"Hi Kashan, 

I hope this message finds you well. We're excited to invite you to visit our booth #42 at the upcoming event, where we’ll be showcasing our latest drone mapping solutions tailored for the construction industry. We’d love to give you a live demo and a small gift as a token of appreciation for your valuable insights. 

Looking forward to seeing you there."
Dr Reyhaneh Shojaei,Senior Lecturer & Researcher,University of Portsmouth,Owner,Join Us for a Live Demo at Booth #42,"Dear Dr. Shojaei, 

I hope this message finds you well. We would love to invite you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s innovative mapping solutions tailored for construction. We’ll also have a small gift for you as a token of appreciation for your interest. 

Looking forward to seeing you there."
Rich Shortridge,Geospatial Associate Director,AtkinsRéalis,Other,Join Us at Booth #42 for a Live Demo,"Hi Rich,

As the Geospatial Associate Director at AtkinsRéalis, I believe you would appreciate seeing our latest advancements in drone mapping and reality capture. We invite you to visit us at Booth #42 for a live demo tailored to your interests, along with a small gift. 

Looking forward to connecting,

[Your Name]  
DroneDeploy"
Rhys-Evans Edet,Co-Owner,MMC Build and The Modern Builder,Builder,Join Us at Booth #42 for a Live Demo,"Hi Rhys-Evans, 

As Co-Owner of MMC Build and The Modern Builder, you understand the importance of leveraging technology in construction. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy and to pick up a small gift. 

Looking forward to seeing you there."
Aleksandra Dasala,Smart Buildings Consultant,Nu Xform,Builder,Discover the Future of Construction at Booth #42,"Hi Aleksandra,

As a Smart Buildings Consultant at Nu Xform, your insights into innovative construction practices are invaluable. We’d love for you to visit our booth #42 for a live demo of DroneDeploy's cutting-edge drone mapping technology. We’ll also have a small gift for you as a token of appreciation for your time.

Looking forward to seeing you there."
Tina Fernandez,Founder & CEO,ConsoliDocs,Other,Join Us at Booth #42 for a Live Demo,"Hi Tina, 

I hope this message finds you well. We’d love for you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We also have a small gift waiting for you. 

Looking forward to seeing you there.

Best, 
[Your Name]"
Dr Thomas Levermore,Senior Systems Engineer,Connected Places Catapult,Other,Join Us at Booth #42 for a Live Demo,"Hi Dr. Levermore, 

As a Senior Systems Engineer at Connected Places Catapult, you understand the importance of innovative solutions in construction. We’d love for you to stop by our booth #42 for a live demo of DroneDeploy and to pick up a small gift. 

Looking forward to seeing you there."
Katherine Bromwell,Business Improvement Manager,Domis Construction,Builder,Join Us for a Live Demo at Booth #42,"Hi Katherine, 

As the Business Improvement Manager at Domis Construction, you understand the value of innovative solutions. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We’ll also have a small gift for you as a token of our appreciation. 

Looking forward to seeing you there!"
Richard Armstrong,Technical Manager,Drax,Other,Join Us for a Live Demo at Booth #42,"Hi Richard,

As the Technical Manager at Drax, I thought you might find our drone mapping solutions intriguing. We’d love for you to visit us at Booth #42 for a live demo of our latest technology and a small gift. Looking forward to seeing you there.

Best regards,
[Your Name]
DroneDeploy"
Alex King,Associate Director of Information Management,Jacobs UK,Other,Join Us at Booth #42 for a Live Demo,"Hi Alex,

I hope this message finds you well. As the Associate Director of Information Management at Jacobs UK, your insights into technology in construction are invaluable. I’d like to invite you to visit our booth #42 for a live demo of our drone mapping solutions, along with a small gift for stopping by.

Looking forward to seeing you there."
Tom Carr,Structural Engineer Associate Director,BDP,Other,Experience DroneDeploy at Booth #42,"Hi Tom, 

As a Structural Engineer Associate Director at BDP, you understand the importance of precision in construction. We’d love to invite you to our booth #42 for a live demo of DroneDeploy’s mapping and reality capture solutions. We’ll also have a small gift for you. 

Looking forward to seeing you there, 

Best, 
[Your Name]"
Dr Vahid Babaveisi,Postdoctoral Researcher,University of Salford,Owner,Join Us for a Live Demo at Booth #42,"Hi Dr. Babaveisi,

I hope this message finds you well. We’d love to invite you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy's capabilities in drone mapping and reality capture. As a token of appreciation, we have a small gift waiting for you. 

Looking forward to seeing you there."
Katherine Chimenes,Structural Engineer,Price and Myers,Other,Join Us at Booth #42 for a Live Demo,"Hi Katherine, 

As a Structural Engineer at Price and Myers, you understand the importance of precision in construction. We’d love for you to visit us at Booth #42 for a live demo of our drone mapping technology, along with a small gift. Looking forward to seeing you there.

Best, 
[Your Name] 
DroneDeploy"
Richard Duffield,NUAR Discovery Lead,Geospatial: Government Digital Service,Other,Join Us at Booth #42 for a Live Demo,"Hi Richard,

As the NUAR Discovery Lead at Geospatial: Government Digital Service, we believe you’ll find value in our innovative drone mapping solutions. We’d love to invite you to visit our booth #42 for a live demo and a small gift. Looking forward to connecting with you at the event.

Best,
[Your Name]"
Dr Yishuang Xu,Associate Professor,University of Manchester,Owner,Join Us for a Live Demo at Booth #42,"Hi Dr. Xu, 

We would love for you to visit our booth #42 at the upcoming event. As an Associate Professor at the University of Manchester, your insights on drone technology would enrich our discussions. We’ll be showcasing live demos of our drone mapping solutions and have a small gift for you. 

Looking forward to seeing you there."
Raina Armstrong,Digital Operations Specialist,Architype,Other,Join Us for a Live Demo at Booth #42,"Hi Raina,

As a Digital Operations Specialist at Architype, you understand the importance of innovative tools in construction. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy's latest features, tailored for professionals like you. Plus, we have a small gift for you as a token of appreciation.

Looking forward to seeing you there!"
Alex King,Head of Data & AI Ecosystem,Google Cloud EMEA,Other,Join Us at Booth #42 for a Live Demo,"Hi Alex,

We’re excited to invite you to visit our booth #42 at the upcoming event. As the Head of Data & AI Ecosystem at Google Cloud EMEA, we believe you’ll find our drone mapping and reality capture solutions particularly relevant. We’d love to show you a live demo and share a small gift as a token of appreciation for your time.

Looking forward to seeing you there."
Alex Oliveira,Senior BIM Manager,BDP,Other,Join Us at Booth #42 for a Live Demo,"Hi Alex,

As a Senior BIM Manager at BDP, your insights into construction technology are invaluable. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy’s mapping solutions. We’ll also have a small gift for you as a token of appreciation.

Looking forward to your visit!

Best,
[Your Name]"
Kathleen Baird,Associate Digital Construction Consultant,WSP,Builder,Explore Cutting-Edge Drone Solutions at Booth #42,"Hi Kathleen,  
As an Associate Digital Construction Consultant at WSP, you understand the importance of innovative tools in construction. We invite you to visit our booth #42 for a live demo of DroneDeploy's mapping and reality capture solutions. We’ll also have a small gift for you. Looking forward to connecting!  
Best,  
[Your Name]  
[Your Position]  
DroneDeploy"
Richard Passe,Technical Visualisation,Skythorn Studios,Other,Join Us at Booth #42 for a Live Demo,"Hi Richard, 

I hope this message finds you well. As a leader in technical visualization at Skythorn Studios, we think you’d appreciate our latest innovations in drone mapping. We’d love for you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to seeing you there."
